i,ttft_s,matched,read_ios,read_b,write_ios,write_b
0,0.3917,0,0,0,0,0
1,1.1564,0,0,0,0,0
2,1.1598,0,0,0,0,0
3,1.1478,0,0,0,0,0
4,1.1607,0,0,0,0,0
5,0.0718,0,0,0,0,0
6,0.0473,0,0,0,0,0
7,0.9146,0,0,0,0,0
8,1.1451,0,0,0,0,0
9,0.9825,0,0,0,0,0
10,1.1619,0,0,0,0,0
11,0.3765,0,0,0,0,0
12,1.1103,0,0,0,0,0
13,0.043,0,0,0,1,83886080
14,0.0285,0,0,0,0,0
15,0.0413,0,0,0,0,0
16,0.1239,0,0,0,0,0
17,0.0502,0,0,0,1,83886080
18,1.1384,0,0,0,3,251658240
19,0.0703,0,0,0,0,0
20,0.0968,0,0,0,1,83886080
21,0.442,0,0,0,1,83886080
22,1.1441,0,0,0,1,83886080
23,1.1563,0,0,0,0,0
24,1.1417,0,0,0,0,0
25,0.0411,0,0,0,0,0
26,1.1023,0,0,0,0,0
27,1.0428,0,0,0,4,335544320
28,0.3194,0,0,0,1,83886080
29,1.1423,0,0,0,1,83886080
30,0.0649,0,0,0,0,0
31,0.3033,0,0,0,0,0
32,1.1583,0,0,0,0,0
33,0.0404,0,0,0,0,0
34,1.139,0,0,0,0,0
35,1.1578,0,0,0,0,0
36,0.7733,0,0,0,0,0
37,0.4207,1504,6,492830720,0,0
38,0.1174,0,0,0,0,0
39,0.0382,0,0,0,0,0
40,1.1524,0,0,0,0,0
41,1.1563,0,0,0,4,335544320
42,0.2552,0,0,0,1,83886080
43,1.1604,0,0,0,1,83886080
44,0.8276,1504,6,492830720,0,0
45,1.1457,0,0,0,0,0
46,0.043,0,0,0,0,0
47,0.2879,0,0,0,0,0
48,0.8852,0,0,0,0,0
49,0.0635,0,0,0,0,0
50,1.1596,0,0,0,0,0
51,0.0643,0,0,0,0,0
52,1.1577,0,0,0,0,0
53,0.0493,0,0,0,0,0
54,0.0584,0,0,0,0,0
55,1.1602,0,0,0,0,0
56,0.0655,0,0,0,0,0
57,1.1699,0,0,0,0,0
58,0.0468,0,0,0,0,0
59,0.059,0,0,0,0,0
60,0.4328,0,0,0,0,0
61,0.1616,0,0,0,0,0
62,1.1559,0,0,0,0,0
63,1.1564,0,0,0,0,0
64,1.169,0,0,0,0,0
65,1.1694,0,0,0,0,0
66,1.155,0,0,0,0,0
67,0.6743,0,0,0,0,0
68,0.5354,1504,6,492830720,0,0
69,1.1623,0,0,0,0,0
70,1.1664,0,0,0,0,0
71,1.1526,0,0,0,0,0
72,1.1667,0,0,0,0,0
73,1.1655,0,0,0,2,167772160
74,1.0354,0,0,0,0,0
75,0.0436,0,0,0,0,0
76,0.0271,0,0,0,0,0
77,1.0405,0,0,0,0,0
78,1.1641,0,0,0,0,0
79,0.3943,0,0,0,0,0
80,0.5164,448,2,146800640,0,0
81,0.0429,0,0,0,0,0
82,1.161,0,0,0,0,0
83,1.1522,0,0,0,1,83886080
84,1.1663,0,0,0,0,0
85,0.1316,0,0,0,0,0
86,1.0361,0,0,0,0,0
87,0.0442,0,0,0,0,0
88,1.1606,0,0,0,0,0
89,1.1512,0,0,0,0,0
90,1.0354,0,0,0,0,0
91,0.6654,0,0,0,0,0
92,1.1517,0,0,0,2,167772160
93,0.4022,0,0,0,0,0
94,0.3355,0,0,0,0,0
95,3.5839,1792,7,587202560,6,503316480
96,1.1549,0,0,0,0,0
97,0.0649,0,0,0,0,0
98,0.4261,0,0,0,0,0
99,0.8391,0,0,0,0,0
100,0.9392,0,0,0,0,0
101,0.0634,0,0,0,0,0
102,0.1187,0,0,0,0,0
103,1.1702,0,0,0,0,0
104,0.4478,0,0,0,0,0
105,1.1543,0,0,0,3,251658240
106,1.1686,0,0,0,0,0
107,0.5717,1504,6,492830720,0,0
108,1.1667,0,0,0,0,0
109,1.1601,0,0,0,0,0
110,1.1693,0,0,0,0,0
111,0.3296,0,0,0,0,0
112,1.1685,0,0,0,0,0
113,1.1565,0,0,0,0,0
114,0.8489,0,0,0,4,335544320
115,1.1688,0,0,0,2,167772160
116,1.1651,0,0,0,1,83886080
117,0.1786,0,0,0,0,0
118,1.1546,0,0,0,0,0
119,1.1555,0,0,0,0,0
120,1.1553,0,0,0,0,0
121,0.2395,0,0,0,0,0
122,1.0935,0,0,0,0,0
123,1.4505,512,2,167772160,0,0
124,1.1542,0,0,0,0,0
125,1.1565,0,0,0,0,0
126,0.7491,1792,7,587202560,0,0
127,1.1695,0,0,0,0,0
128,0.0392,0,0,0,0,0
129,1.163,0,0,0,0,0
130,0.0405,0,0,0,0,0
131,1.1148,0,0,0,0,0
132,0.3294,0,0,0,0,0
133,1.1686,0,0,0,0,0
134,1.1554,0,0,0,0,0
135,1.1695,0,0,0,0,0
136,0.1564,0,0,0,0,0
137,0.0986,0,0,0,0,0
138,0.0418,0,0,0,0,0
139,1.1654,0,0,0,0,0
140,1.1699,0,0,0,0,0
141,1.1551,0,0,0,0,0
142,0.7564,0,0,0,0,0
143,0.239,0,0,0,0,0
144,0.9628,0,0,0,0,0
145,1.1563,0,0,0,0,0
146,0.9903,0,0,0,0,0
147,1.1558,0,0,0,0,0
148,0.0403,0,0,0,0,0
149,0.0256,0,0,0,0,0
