i,ttft_s,matched,read_ios,read_b,write_ios,write_b
0,0.3953,0,0,0,0,0
1,1.157,0,0,0,0,0
2,1.1586,0,0,0,0,0
3,1.146,0,0,0,0,0
4,1.1582,0,0,0,0,0
5,0.071,0,0,0,0,0
6,0.0478,0,0,0,0,0
7,0.9133,0,0,0,0,0
8,1.145,0,0,0,0,0
9,0.9805,0,0,0,0,0
10,1.1586,0,0,0,0,0
11,0.3747,0,0,0,0,0
12,1.1095,0,0,0,0,0
13,0.0412,0,0,0,1,83886080
14,0.0281,0,0,0,0,0
15,0.0412,0,0,0,0,0
16,0.1193,0,0,0,0,0
17,0.0525,0,0,0,1,83886080
18,1.1373,0,0,0,3,251658240
19,0.0697,0,0,0,0,0
20,0.0982,0,0,0,0,0
21,0.4404,0,0,0,1,83886080
22,1.1398,0,0,0,2,167772160
23,1.1547,0,0,0,0,0
24,1.14,0,0,0,0,0
25,0.0402,0,0,0,0,0
26,1.1007,0,0,0,0,0
27,1.0405,0,0,0,4,335544320
28,0.3176,0,0,0,2,167772160
29,1.141,0,0,0,0,0
30,0.0649,0,0,0,0,0
31,0.302,0,0,0,0,0
32,1.153,0,0,0,0,0
33,0.0453,0,0,0,0,0
34,1.1367,0,0,0,0,0
35,1.1577,0,0,0,0,0
36,0.7736,0,0,0,0,0
37,0.4418,1504,6,492830720,0,0
38,0.1179,0,0,0,0,0
39,0.043,0,0,0,0,0
40,1.1558,0,0,0,0,0
41,1.1611,0,0,0,4,335544320
42,0.254,0,0,0,1,83886080
43,1.1665,0,0,0,1,83886080
44,1.5697,1504,6,492830720,0,0
45,1.1506,0,0,0,0,0
46,0.0435,0,0,0,0,0
47,0.2882,0,0,0,0,0
48,0.887,0,0,0,0,0
49,0.0637,0,0,0,0,0
50,1.1619,0,0,0,0,0
51,0.0617,0,0,0,0,0
52,1.1589,0,0,0,0,0
53,0.0475,0,0,0,0,0
54,0.0583,0,0,0,0,0
55,1.1639,0,0,0,0,0
56,0.0643,0,0,0,0,0
57,1.1633,0,0,0,0,0
58,0.047,0,0,0,0,0
59,0.0608,0,0,0,0,0
60,0.4315,0,0,0,0,0
61,0.1599,0,0,0,0,0
62,1.1493,0,0,0,0,0
63,1.1503,0,0,0,0,0
64,1.164,0,0,0,0,0
65,1.1632,0,0,0,0,0
66,1.1497,0,0,0,0,0
67,0.6714,0,0,0,0,0
68,0.4542,1504,6,492830720,0,0
69,1.161,0,0,0,0,0
70,1.1612,0,0,0,0,0
71,1.1496,0,0,0,0,0
72,1.1655,0,0,0,0,0
73,1.1639,0,0,0,2,167772160
74,1.0347,0,0,0,0,0
75,0.0408,0,0,0,0,0
76,0.0267,0,0,0,0,0
77,1.0402,0,0,0,0,0
78,1.1614,0,0,0,0,0
79,0.3917,0,0,0,0,0
80,0.3343,448,2,146800640,0,0
81,0.0409,0,0,0,0,0
82,1.1607,0,0,0,0,0
83,1.1492,0,0,0,1,83886080
84,1.1635,0,0,0,0,0
85,0.1312,0,0,0,0,0
86,1.0346,0,0,0,0,0
87,0.0401,0,0,0,0,0
88,1.1613,0,0,0,0,0
89,1.1498,0,0,0,0,0
90,1.0341,0,0,0,0,0
91,0.6651,0,0,0,0,0
92,1.1518,0,0,0,2,167772160
93,0.4021,0,0,0,0,0
94,0.3342,0,0,0,0,0
95,1.5607,1792,7,587202560,6,503316480
96,1.1489,0,0,0,0,0
97,0.0636,0,0,0,0,0
98,0.4246,0,0,0,0,0
99,0.8342,0,0,0,0,0
100,0.9338,0,0,0,0,0
101,0.0627,0,0,0,0,0
102,0.1183,0,0,0,0,0
103,1.1632,0,0,0,0,0
104,0.4442,0,0,0,0,0
105,1.1507,0,0,0,3,251658240
106,1.163,0,0,0,0,0
107,0.4088,1504,6,492830720,0,0
108,1.1613,0,0,0,0,0
109,1.1489,0,0,0,0,0
110,1.1625,0,0,0,0,0
111,0.3285,0,0,0,0,0
112,1.1623,0,0,0,0,0
113,1.1501,0,0,0,0,0
114,0.8467,0,0,0,7,587202560
115,1.1622,0,0,0,0,0
116,1.1616,0,0,0,0,0
117,0.1783,0,0,0,0,0
118,1.149,0,0,0,0,0
119,1.1479,0,0,0,0,0
120,1.1491,0,0,0,0,0
121,0.2375,0,0,0,0,0
122,1.0881,0,0,0,0,0
123,1.1484,512,2,167772160,0,0
124,1.1504,0,0,0,0,0
125,1.1485,0,0,0,0,0
126,0.6474,1792,7,587202560,0,0
127,1.1616,0,0,0,0,0
128,0.0414,0,0,0,0,0
129,1.1578,0,0,0,0,0
130,0.0431,0,0,0,0,0
131,1.1076,0,0,0,0,0
132,0.3277,0,0,0,0,0
133,1.1628,0,0,0,0,0
134,1.1488,0,0,0,0,0
135,1.1635,0,0,0,0,0
136,0.1551,0,0,0,0,0
137,0.0983,0,0,0,0,0
138,0.0427,0,0,0,0,0
139,1.1605,0,0,0,0,0
140,1.1645,0,0,0,0,0
141,1.1482,0,0,0,0,0
142,0.7524,0,0,0,0,0
143,0.237,0,0,0,0,0
144,0.9573,0,0,0,0,0
145,1.1484,0,0,0,0,0
146,0.9864,0,0,0,0,0
147,1.1501,0,0,0,0,0
148,0.0399,0,0,0,0,0
149,0.027,0,0,0,0,0
